cod_ti,nome_ti,pop_res_2010,pop_idg_2010,pop_res_2022,pop_idg_2022
9741,Tabalascada,553,546,1023,961
50615,Tabocal,72,69,22,18
1325,Tadarimana,390,390,565,561
50686,Taego Ãwa (1),,,210,1
14966,Taihantesu,456,218,,
6530,Takuaraty/Yvykuarusu,592,591,955,950
50742,Takuari (1),,,91,91
6262,Tapeba (1),,,10081,5328
7358,Tapirapé/Karajá,406,397,550,545
7218,Taquaperi,2578,2578,3144,3144
50649,Taquara,304,288,278,238
50663,Tarumã (1),,,41,41
50750,Taunay/Ipegue (1),,,593,488
7250,Taunay-Ipegue,4087,4047,3438,3380
50768,Tekoa Gwyra Pepo (1),,,142,142
40004,Tekohá Añetete,422,422,263,263
50693,Tekoha Itamarã (1),,,200,200
9911,Tembé,149,148,213,204
8451,Tenharim do Igarapé Preto,22,22,113,105
8460,Tenharim Marmelos,700,663,741,715
50616,Tenharim Marmelos (Gleba B),183,183,,
50732,Tenondé Porã (1),,,664,548
50674,Terena Gleba Iriri,0,0,184,181
7455,Tereza Cristina,426,426,409,409
5452,Tibagy/Mococa,168,168,130,127
7870,Tikúna de Feijoal,4645,4481,4283,4279
7846,Tikuna de Santo Antônio,2608,2268,4144,4077
5843,Tingui Botó,144,143,338,297
7374,Tirecatinga,175,174,244,241
9695,Toldo Chimbangue,224,224,214,214
50135,Toldo Chimbangue II,315,315,550,545
50638,Toldo Imbu,884,157,393,274
41000,Toldo Pinhal,801,538,644,13
8486,Torá,774,765,84,84
50759,Tremembé da Barra do Mundaú (1),,,980,542
50771,Tremembé de Queimadas (1),,,311,290
7889,Trincheira,336,124,412,400
9822,Trincheira Bacaja,1288,1229,1033,1014
9903,Trocará,437,437,683,677
8508,Trombetas/Mapuera,705,698,896,895
7072,Truaru,354,354,447,430
50111,Truká,2789,2775,1285,1258
50751,Truká (1),,,1633,1598
7528,Tubarão Latunde,199,196,271,265
9342,Tukuna Porto Espiritual,300,285,179,117
9350,Tukuna Umariaçu,5368,5368,7901,7805
8613,Tumiã,66,66,16,
50085,Tupã-Supé,19,,14,
50725,Tupiniquim (1),,,4067,3853
14931,Turé/Mariquita,3,,28,24
50098,Turé/Mariquita II,35,31,38,35
50108,Tuxá de Inajá,38,38,37,23
6840,Uaçá,4881,4836,6105,6093
8621,Uati-Paraná,1577,1535,1002,988
50197,Ubawawe,594,491,600,600
50651,Uirapuru,384,238,52,42
1333,Umutina,409,409,407,396
9377,Uneiuxi,249,249,194,194
50748,Uneiuxi (1),,,204,204
50199,Urubu Branco,1106,1106,941,889
2832,Urucu/Juruá,845,835,1046,1037
7536,Uru-Eu-Wau-Wau,608,558,518,367
50685,Utaria Wyhyna/Iròdu Iràna (1),,,57,41
7366,Utiariti,407,406,697,686
50783,Uty-Xunaty (1),,,2,
6785,Vale do Guaporé,2991,1596,1486,1104
6572,Vale do Javari,6978,6802,5598,5519
10570,Vanuire,210,209,251,239
5770,Vargem Alegre,41,,46,45
50153,Varzinha,64,64,27,27
50154,Ventarra,212,212,310,309
7722,Votouro,956,956,917,904
9369,Vui-Uata-In,1039,1033,3027,3025
6831,Waiãpi,874,874,1665,1665
3182,Waimiri-Atroari,1386,1381,2200,2199
7080,Waiwái,300,289,500,500
50809,Wassu Cocal,2234,2082,2020,1837
50200,Wawi,327,327,554,553
5649,Xacriabá,6978,6977,8009,7993
50668,Xakriabá Rancharia,827,820,971,952
5533,Xambioá,331,325,421,371
9709,Xapecó,4563,4549,5163,5079
50640,Xapecó (Pinhalzinho-Canhadão),85,85,60,7
3212,Xerente,2361,2357,3336,3323
9970,Xikrin do Rio Catete,1059,1059,1737,1727
14923,Xipaya,81,81,197,190
6319,Xukuru,7727,7672,8320,8179
50677,Xukuru de Cimbres,1450,10,115,115
50752,Xukuru-Kariri (1),,,2429,957
8656,Yanomami,25972,25719,27202,27152
50739,Yvy-Katu (1),,,924,921
50633,Yvyporã Laranjinha,83,80,118,64
5924,Zo'é,255,255,330,330
6777,Zoró,629,626,755,751
7862,Zuruahã,0,0,158,158
