lat,lng,nome_ti,FASE,pop_idg_2022,pop_idg_2010,crescimento_2010_2022,var_pct
-10.173974987710082,-50.23455333934464,Utaria Wyhyna/Iròdu Iràna (1),Declarada,41.0,,,
-11.955153651474225,-49.79151684761004,Taego Ãwa (1),Declarada,1.0,,,
-3.707065906117283,-38.727023590185674,Taba dos Anacé (1),Encaminhada RI,463.0,,,
-25.004645535175925,-54.049808834314696,Tekoha Itamarã (1),Regularizada,200.0,,,
-27.373301042851338,-48.93969883951083,Águas Claras (1),Regularizada,38.0,,,
-27.380564347209567,-48.760756751344275,Amaral/Tekoá Kuriy (1),Encaminhada RI,102.0,,,
-27.339652299229147,-48.663920600379655,Morro da Palha (1),Encaminhada RI,103.0,,,
-12.735575620233423,-57.61411863030144,Manoki (1),Declarada,,,,
-14.137796363180898,-56.922481748712684,Estação Parecis (1),Declarada,18.0,,,
0.6298042521750373,-66.93664231656984,Cué Cué/Marabitanas (1),Declarada,2093.0,,,
-3.42120679937642,-59.429607200432194,Sissaíma (1),Declarada,209.0,,,
-3.5131373117707305,-59.45491689850181,Ponciano (1),Declarada,54.0,,,
-3.3701895078928397,-59.21988349959061,Murutinga/Tracaja (1),Declarada,1495.0,,,
-4.547389083211685,-69.87146233202849,Guanabara (1),Declarada,391.0,,,
-4.272129736278283,-59.91991242051392,Lago do Limão (1),Declarada,94.0,,,
-3.2511247604197884,-55.02750374707442,Munduruku-Taquara (1),Declarada,213.0,,,
-3.0512887397434287,-55.00765632509521,Bragança-Marituba (1),Declarada,200.0,,,
-2.35023273406928,-47.96850558270801,Maracaxi (1),Declarada,46.0,,,
-5.950575057571057,-45.86441934567944,Bacurizinho (1),Declarada,95.0,,,
-20.08871918106573,-56.21623894940359,Cachoeirinha (1),Declarada,306.0,,,
-19.871059803401785,-40.178128259160324,Tupiniquim (1),Regularizada,3853.0,,,
-26.769237393834302,-49.793931075884075,Ibirama-La Klãnô (1),Declarada,505.0,,,
-30.339617965820842,-53.198178253897034,Irapuá (1),Declarada,,,,
-23.4602088797342,-46.77104618127359,Jaraguá (1),Declarada,399.0,,,
