,dtg,Ano,Mês,Dia,UF,Local,latitude,longitude,Magnitude,Obs
16,2023-02-20,2023,2,20,CE,Amontada,-3.36,-39.74,1.6,Magnitude não revisada/preliminar
17,2023-02-20,2023,2,20,RN,Caraúbas,-5.7,-37.49,1.5,Magnitude não revisada/preliminar
18,2023-02-18,2023,2,18,BA,Curaçá,-9.44,-39.6,1.6,Magnitude não revisada/preliminar
19,2023-02-18,2023,2,18,AL,Campo Alegre,-9.79,-37.26,1.9,Magnitude não revisada/preliminar
20,2023-02-18,2023,2,18,BA,Jacobina,-11.28,-40.56,1.7,Magnitude não revisada/preliminar
21,2023-02-17,2023,2,17,PB,Juazeirinho,-7.03,-36.69,1.6,Magnitude não revisada/preliminar
22,2023-02-17,2023,2,17,BA,Itagi,-14.07,-40.03,1.6,Magnitude não revisada/preliminar
23,2023-02-17,2023,2,17,BA,Jaguarari,-9.88,-39.95,1.8,Magnitude não revisada/preliminar
24,2023-02-16,2023,2,16,BA,Jaguarari,-9.86,-39.87,2.1,Magnitude não revisada/preliminar
25,2023-02-16,2023,2,16,BA,Jacobina,-11.25,-40.5,1.6,Magnitude não revisada/preliminar
26,2023-02-15,2023,2,15,BA,Jacobina,-11.21,-40.53,1.8,Magnitude não revisada/preliminar
27,2023-02-15,2023,2,15,AL,Igreja Nova,-10.13,-36.48,2.3,Magnitude não revisada/preliminar
28,2023-02-15,2023,2,15,AL,Igreja Nova,-10.11,-36.52,2.4,Magnitude não revisada/preliminar
29,2023-02-15,2023,2,15,AL,Igreja Nova,-10.11,-36.53,2.0,Magnitude não revisada/preliminar
30,2023-02-14,2023,2,14,PE,São Lourenço da Mata,-8.05,-35.18,1.9,
31,2023-02-13,2023,2,13,BA,Jacobina,-11.25,-40.51,2.1,
32,2023-02-13,2023,2,13,CE,Forquilha,-3.94,-40.2,1.6,Magnitude não revisada/preliminar
33,2023-02-13,2023,2,13,BA,Jacobina,-11.29,-40.52,1.5,Magnitude não revisada/preliminar
34,2023-02-10,2023,2,10,BA,Jacobina,-11.21,-40.51,1.8,Magnitude não revisada/preliminar
35,2023-02-09,2023,2,9,PE,Caruaru,-8.3,-36.1,2.0,Magnitude não revisada/preliminar
36,2023-02-09,2023,2,9,RN,Costa do Atlântico,-5.09,-35.1,2.0,
37,2023-02-08,2023,2,8,PE,Barreiros,-8.83,-35.25,1.7,Magnitude não revisada/preliminar
38,2023-02-08,2023,2,8,PE,Caruaru,-8.28,-35.98,2.2,Magnitude não revisada/preliminar
39,2023-02-07,2023,2,7,BA,Jacobina,-11.28,-40.49,1.7,Magnitude não revisada/preliminar
40,2023-02-07,2023,2,7,BA,Jacobina,-11.24,-40.55,1.8,Magnitude não revisada/preliminar
41,2023-02-06,2023,2,6,PE,Garanhus,-8.84,-36.42,1.8,Magnitude não revisada/preliminar
42,2023-02-05,2023,2,5,BA,Jacobina,-11.27,-40.53,2.7,Magnitude não revisada/preliminar
43,2023-02-03,2023,2,3,RN,Costa de Touros,-5.17,-35.25,1.5,Magnitude não revisada/preliminar
44,2023-02-02,2023,2,2,PB,Santa Luzia,-6.9,-36.94,1.5,Magnitude não revisada/preliminar
2,2023-01-31,2023,1,31,AL,Craíbas,-9.69,-36.7,2.0,Magnitude não revisada/preliminar
3,2023-01-31,2023,1,31,RN,Plataforma Continental do,-4.67,-34.99,1.6,Magnitude não revisada/preliminar
4,2023-01-29,2023,1,29,BA,Plataforma Continental da,-11.27,-40.5,2.1,Magnitude não revisada/preliminar
5,2023-01-27,2023,1,27,BA,Curaçá,-9.84,-39.88,2.2,Magnitude não revisada/preliminar
6,2023-01-26,2023,1,26,AL,Arapiraca,-9.71,-36.62,1.7,Magnitude não revisada/preliminar
